game_id,date,home_team_name,away_team_name,home_team_ranked,away_team_ranked,home_score,away_score,location_type,status,schedule_url,boxscore_url,dedupe_key
sidearm-2025-01-01-NC-State-Virginia,2025-01-01,NC State,Virginia,,,0,1,unknown,final,,,2025-01-01-NC-State-Virginia
sidearm-2025-01-01-NC-State-Clemson,2025-01-01,NC State,Clemson,,,1,0,unknown,final,,,2025-01-01-Clemson-NC-State
sidearm-2025-01-01-NC-State-Notre-Dame,2025-01-01,NC State,Notre Dame,,,3,0,unknown,final,,https://gopack.com/sports/mens-soccer/stats/2025/notre-dame/boxscore/24004,2025-01-01-NC-State-Notre-Dame
sidearm-2025-01-01-NC-State-UNC-Greensboro,2025-01-01,NC State,UNC Greensboro,,,1,1,unknown,final,,,2025-01-01-NC-State-UNC-Greensboro
sidearm-2025-01-01-Syracuse-NC-State,2025-01-01,Syracuse,NC State,,,3,0,unknown,final,,https://cuse.com/sports/mens-soccer/stats/2025/nc-state/boxscore/18662,2025-01-01-NC-State-Syracuse
sidearm-2025-01-01-NC-State-(14)-Louisville,2025-01-01,NC State,(14) Louisville,,,3,0,unknown,final,,,2025-01-01-(14)-Louisville-NC-State
sidearm-2025-01-01-NC-State-(6)-Syracuse,2025-01-01,NC State,(6) Syracuse,,,0,3,unknown,final,,,2025-01-01-(6)-Syracuse-NC-State
sidearm-2025-01-01-NC-State-Marshall-(Second-Round),2025-01-01,NC State,Marshall (Second Round),,,2,0,unknown,final,,https://gopack.com/sports/mens-soccer/stats/2025/marshall-second-round-/boxscore/24459,2025-01-01-Marshall-(Second-Round)-NC-State
sidearm-2025-01-01-NC-State-UNC-Greensboro-(Third-Round),2025-01-01,NC State,UNC Greensboro (Third Round),,,2,0,unknown,final,,,2025-01-01-NC-State-UNC-Greensboro-(Third-Round)
sidearm-2025-01-01-NC-State-(7)-Georgetown-(Quarterfinals),2025-01-01,NC State,(7) Georgetown (Quarterfinals),,,3,2,unknown,final,,,2025-01-01-(7)-Georgetown-(Quarterfinals)-NC-State
sidearm-2025-01-01-NC-State-Saint-Louis-(Semifinals),2025-01-01,NC State,Saint Louis (Semifinals),,,2,1,unknown,final,,,2025-01-01-NC-State-Saint-Louis-(Semifinals)
sidearm-2025-01-01-NC-State-Washington,2025-01-01,NC State,Washington,,,2,3,unknown,final,,,2025-01-01-NC-State-Washington
sidearm-2025-01-01-Pittsburgh-Quinnipiac,2025-01-01,Pittsburgh,Quinnipiac,,,1,0,unknown,final,,,2025-01-01-Pittsburgh-Quinnipiac
sidearm-2025-01-01-Pittsburgh-Michigan-State,2025-01-01,Pittsburgh,Michigan State,,,3,2,unknown,final,,,2025-01-01-Michigan-State-Pittsburgh
sidearm-2025-01-01-Pittsburgh-Georgetown,2025-01-01,Pittsburgh,Georgetown,,,0,1,unknown,final,,,2025-01-01-Georgetown-Pittsburgh
sidearm-2025-01-01-Pittsburgh-Clemson,2025-01-01,Pittsburgh,Clemson,,,1,0,unknown,final,,,2025-01-01-Clemson-Pittsburgh
sidearm-2025-01-01-Pittsburgh-Butler,2025-01-01,Pittsburgh,Butler,,,4,1,unknown,final,,,2025-01-01-Butler-Pittsburgh
sidearm-2025-01-01-Pittsburgh-Notre-Dame,2025-01-01,Pittsburgh,Notre Dame,,,0,2,unknown,final,,,2025-01-01-Notre-Dame-Pittsburgh
sidearm-2025-01-01-Pittsburgh-Incarnate-Word,2025-01-01,Pittsburgh,Incarnate Word,,,0,0,unknown,final,,,2025-01-01-Incarnate-Word-Pittsburgh
sidearm-2025-01-01-Pittsburgh-Unknown-Opponent,2025-01-01,Pittsburgh,Unknown Opponent,,,,,unknown,scheduled,,,2025-01-01-Pittsburgh-Unknown-Opponent
sidearm-2025-01-01-Pittsburgh-Maryland,2025-01-01,Pittsburgh,Maryland,,,1,2,unknown,final,,,2025-01-01-Maryland-Pittsburgh
sidearm-2025-01-01-Pittsburgh-Mercyhurst,2025-01-01,Pittsburgh,Mercyhurst,,,2,1,unknown,final,,,2025-01-01-Mercyhurst-Pittsburgh
sidearm-2025-01-01-Pittsburgh-Duke,2025-01-01,Pittsburgh,Duke,,,0,4,unknown,final,,,2025-01-01-Duke-Pittsburgh
sidearm-2025-01-01-Pittsburgh-Stanford,2025-01-01,Pittsburgh,Stanford,,,0,2,unknown,final,,,2025-01-01-Pittsburgh-Stanford
sidearm-2025-01-01-Pittsburgh-Denver,2025-01-01,Pittsburgh,Denver,,,0,0,unknown,final,,,2025-01-01-Denver-Pittsburgh
sidearm-2025-01-01-Syracuse-Pittsburgh,2025-01-01,Syracuse,Pittsburgh,,,2,4,unknown,final,,https://cuse.com/sports/mens-soccer/stats/2025/pittsburgh/boxscore/18470,2025-01-01-Pittsburgh-Syracuse
sidearm-2025-01-01-Pittsburgh-Wake-Forest,2025-01-01,Pittsburgh,Wake Forest,,,1,1,unknown,final,,,2025-01-01-Pittsburgh-Wake-Forest
sidearm-2025-01-01-Pittsburgh-Louisville,2025-01-01,Pittsburgh,Louisville,,,0,0,unknown,final,,,2025-01-01-Louisville-Pittsburgh
sidearm-2025-01-01-Pittsburgh-California,2025-01-01,Pittsburgh,California,,,0,1,unknown,final,,,2025-01-01-California-Pittsburgh
sidearm-2025-01-01-SMU-UMKC,2025-01-01,SMU,UMKC,,,2,2,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/umkc/boxscore/14065,2025-01-01-SMU-UMKC
sidearm-2025-01-01-SMU-Saint-Louis,2025-01-01,SMU,Saint Louis,,,0,1,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/saint-louis/boxscore/14083,2025-01-01-SMU-Saint-Louis
sidearm-2025-01-01-SMU-LMU,2025-01-01,SMU,LMU,,,3,1,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/lmu/boxscore/14066,2025-01-01-LMU-SMU
sidearm-2025-01-01-SMU-Oral-Roberts,2025-01-01,SMU,Oral Roberts,,,2,1,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/oral-roberts/boxscore/14067,2025-01-01-Oral-Roberts-SMU
sidearm-2025-01-01-SMU-GCU,2025-01-01,SMU,GCU,,,1,0,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/gcu/boxscore/14084,2025-01-01-GCU-SMU
sidearm-2025-01-01-SMU-Incarnate-Word,2025-01-01,SMU,Incarnate Word,,,1,2,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/incarnate-word/boxscore/14068,2025-01-01-Incarnate-Word-SMU
sidearm-2025-01-01-SMU-Clemson,2025-01-01,SMU,Clemson,,,1,1,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/clemson/boxscore/14070,2025-01-01-Clemson-SMU
sidearm-2025-01-01-North-Carolina-SMU,2025-01-01,North Carolina,SMU,,,1,1,unknown,final,,,2025-01-01-North-Carolina-SMU
sidearm-2025-01-01-SMU-Notre-Dame,2025-01-01,SMU,Notre Dame,,,2,0,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/notre-dame/boxscore/14078,2025-01-01-Notre-Dame-SMU
sidearm-2025-01-01-SMU-California,2025-01-01,SMU,California,,,4,0,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/california/boxscore/14071,2025-01-01-California-SMU
sidearm-2025-01-01-SMU-UTRGV,2025-01-01,SMU,UTRGV,,,,,unknown,canceled,,,2025-01-01-SMU-UTRGV
sidearm-2025-01-01-Syracuse-SMU,2025-01-01,Syracuse,SMU,,,1,5,unknown,final,,https://cuse.com/sports/mens-soccer/stats/2025/smu/boxscore/18665,2025-01-01-SMU-Syracuse
sidearm-2025-01-01-SMU-Central-Arkansas,2025-01-01,SMU,Central Arkansas,,,2,0,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/central-arkansas/boxscore/14074,2025-01-01-Central-Arkansas-SMU
sidearm-2025-01-01-SMU-Stanford,2025-01-01,SMU,Stanford,,,1,0,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/no-7-stanford/boxscore/14348,2025-01-01-SMU-Stanford
sidearm-2025-01-01-SMU-Virginia,2025-01-01,SMU,Virginia,,,1,0,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/virginia/boxscore/14350,2025-01-01-SMU-Virginia
sidearm-2025-01-01-SMU-Wake-Forest,2025-01-01,SMU,Wake Forest,,,5,4,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/wake-forest/boxscore/14346,2025-01-01-SMU-Wake-Forest
sidearm-2025-01-01-SMU-Washington,2025-01-01,SMU,Washington,,,0,1,unknown,final,,https://smumustangs.com/sports/mens-soccer/stats/2025/washington/boxscore/14352,2025-01-01-SMU-Washington
sidearm-2025-01-01-Syracuse-Marist,2025-01-01,Syracuse,Marist,,,2,0,unknown,final,,https://cuse.com/news/2025/8/9/mens-soccer-orange-win-first-exhibition-game,2025-01-01-Marist-Syracuse
sidearm-2025-01-01-Syracuse-Mercyhurst,2025-01-01,Syracuse,Mercyhurst,,,4,1,unknown,final,,https://cuse.com/news/2025/8/12/mens-soccer-orange-take-down-mercyhurst-in-exhibition,2025-01-01-Mercyhurst-Syracuse
